Name;Address;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Veterinária Vida Vet;Avenida Robert Kennedy, 3473 - Planalto, São Bernardo do Campo;4.8;165;ChIJ66y6omBBzpQRKp2XXKlfZM4;veterinary_care;-23.7211791;-46.5734527
HOME CÃO;Estrada dos Alvarengas, 4101 - Assunção, São Bernardo do Campo;4.8;619;ChIJwfJcolJBzpQRDVvIGWLJ6Ig;veterinary_care;-23.7352063;-46.5855258
OPORTUNIDADE DE NEGOCIO FLP;Jardim Campestre, São Bernardo do Campo;N/A;N/A;ChIJVVVVpU9BzpQRqAq1x0IXd8c;veterinary_care;-23.7329646;-46.585573
Gatil Coliseu - Filhotes de gato Bengal;Rua Ernesto Soares Filho, 279 - Bairro dos Casa, São Bernardo do Campo;5;17;ChIJK0HOPGpBzpQRTxyunrMW6U0;veterinary_care;-23.7306595;-46.5652018
Clinivet Clínica Veterinária;Ministro Nelsom Hungria, 31 - Dos Casa, São Bernardo do Campo;5;41;ChIJPwfypZhBzpQR3kvVKV84qMk;veterinary_care;-23.73551299999999;-46.57950869999999
AeroVet Clínica Veterinária;Rua Maria da Natividade Lages, 161 - Dos Casa, São Bernardo do Campo;4.8;6;ChIJbVJKDyFDzpQRtRn0MA4zCcA;veterinary_care;-23.7263136;-46.5633363
Consultório Veterinário Dra Luciana Ogata;Rua Ministro Otávio Mangabeira, 22 - Jardim Campestre, São Bernardo do Campo;4.8;173;ChIJ_ZC5DERBzpQRbsonO08wWAM;veterinary_care;-23.7326186;-46.5793038
Clínica Veterinária;Estrada dos Alvarengas, 2066 - Assunção, São Bernardo do Campo;4.5;2;ChIJce9Jc0RBzpQRl_gI4MVzdlM;veterinary_care;-23.7326211;-46.5793071
AVICULTURA JOJOPY;Rua Ministro Otávio Mangabeira, 54 - Bairro dos Casa, São Bernardo do Campo;4.5;27;ChIJS2mgEkRBzpQR6By_ae4QTzg;veterinary_care;-23.7327336;-46.5795121
Hospital Veterinário Reino Animal 24h;Estrada dos Alvarengas, 470 - Assunção, São Bernardo do Campo;4.3;810;ChIJUd2c25pBzpQRYZJ368oAnSE;veterinary_care;-23.7278118;-46.57692369999999
Fisio Care Pet São Bernardo II Centro Fisioterapia Acupuntura e Ortopedia Veterinária;Rua Ana Maria Martinez, 180 - Assunção, São Bernardo do Campo;5;151;ChIJ01A9IdRBzpQRy3pyR1njGqo;veterinary_care;-23.72448039999999;-46.5701048
Centro Veterinário Assunção - 24h;Rua Ana Maria Martinez, 180 - Assunção, São Bernardo do Campo;4.3;774;ChIJh20xTEdCzpQRDhoJ-n_NxI4;veterinary_care;-23.7244685;-46.57008099999999
